iter	RMSE
0	0.6855104143
1	0.662584953
2	0.6440050015
3	0.62862825
4	0.610967635
5	0.5845155338
6	0.5660583301
7	0.5533402086
8	0.5330555774
9	0.5162171111
10	0.5068943248
11	0.4917236785
12	0.4791416924
13	0.466567592
14	0.4523031853
15	0.4377720518
16	0.4212319026
17	0.4093508605
18	0.3990822097
19	0.3863919646
20	0.3750692268
21	0.3634663076
22	0.3520000106
23	0.3435131005
24	0.3342858114
25	0.3256327877
26	0.3196686735
27	0.3127910444
28	0.3073265154
29	0.2987658952
30	0.2921824951
31	0.2856579882
32	0.2810883519
33	0.275143881
34	0.2689012001
35	0.262279538
36	0.2574003089
37	0.2498294815
38	0.24392341
39	0.2373539978
40	0.2312532107
41	0.2245763201
42	0.2184862441
43	0.2141193326
44	0.2081045304
45	0.2022876519
46	0.1959370636
47	0.191363097
48	0.1841836081
49	0.1812717149
50	0.1763325558
51	0.1716733552
52	0.168513644
53	0.1642251809
54	0.1586431412
55	0.1537055237
56	0.1487556839
57	0.1454231522
58	0.1411682232
59	0.1364090653
60	0.1320036392
61	0.129326465
62	0.1254706669
63	0.1215946782
64	0.1183411307
65	0.114898244
66	0.1115504068
67	0.1082877039
68	0.1055313246
69	0.1028392607
70	0.1002298156
71	0.09734352151
72	0.09466211646
73	0.09278543205
74	0.09034896988
75	0.08858819243
76	0.08614093402
77	0.08368627164
78	0.08157624219
79	0.07902005062
80	0.0768892925
81	0.07547789221
82	0.07361423476
83	0.07229234327
84	0.07102061472
85	0.06982303835
86	0.06866973972
87	0.06751198886
88	0.0664360575
89	0.06540073352
90	0.06397513844
91	0.06244281582
92	0.06100331727
93	0.05950796517
94	0.05817086151
95	0.05676762864
96	0.05592078576
97	0.05425774312
98	0.05316012338
99	0.05190730932
100	0.05113698064
101	0.04970587844
102	0.04833960656
103	0.04725629691
104	0.04657112877
105	0.04568270151
106	0.0445454391
107	0.04344925254
108	0.04238222483
109	0.04135368731
110	0.0403622174
111	0.03940645691
112	0.03848510846
113	0.03721550546
114	0.03670687338
115	0.03561496437
116	0.03451830878
117	0.03355602615
118	0.03279199223
119	0.03194102579
120	0.03104415016
121	0.03024109903
122	0.02936487699
123	0.02852652959
124	0.02772424082
125	0.02700499076
126	0.02659423225
127	0.02590551945
128	0.02552133723
129	0.02487654134
130	0.02425840203
131	0.02390816843
132	0.02328425105
133	0.02295748907
134	0.02244174684
135	0.02214529513
136	0.02166500743
137	0.02122885803
138	0.02095926611
139	0.02062927077
140	0.02017473986
141	0.01975834361
142	0.01934267807
143	0.0190391463
144	0.01864708825
145	0.01821754956
146	0.01794547371
147	0.0176759404
148	0.017208081
149	0.01680534576
150	0.01645735824
151	0.01614869559
152	0.01582949017
153	0.01551205513
154	0.01515116441
155	0.01485403997
156	0.01439649476
157	0.01406806969
158	0.01375410373
159	0.01341559686
160	0.0131359196
161	0.01295027972
162	0.01266768151
163	0.01229564228
164	0.01203411244
165	0.0117497425
166	0.01151332404
167	0.01127095858
168	0.01105779533
169	0.01084428456
170	0.01064396288
171	0.01032553381
172	0.01011371683
173	0.009923390725
174	0.009688386449
175	0.0095128317
176	0.009347006191
177	0.00916359311
178	0.008967214542
179	0.008757230658
180	0.008495832432
181	0.008249472985
182	0.008049986897
183	0.007824175257
184	0.007646351774
185	0.007543868901
186	0.007306809491
187	0.007220012956
188	0.007136721608
189	0.007056806507
190	0.006980143663
191	0.006822931681
192	0.00665307944
193	0.006583580816
194	0.006440196586
195	0.006395221918
196	0.006352272671
197	0.006218958276
198	0.006179071918
199	0.006096918666
